word	greedy	greedy_adv	simple
UMKLEMMEN	2	2	2
STUMPFERE	2	3	2
VEREINTET	2	2	3
VERBEUGST	2	2	3
URKRAEFTE	2	2	2
TRACHTEND	2	3	2
UNGEUEBTE	2	2	2
UNGENANNT	3	2	2
TROLLTEST	2	2	2
VERFEUERN	2	2	2
VERBITTEN	2	2	2
VERBLASEN	2	2	2
VERGLASEN	2	2	2
VERBLOEDE	2	2	2
VERBEUGEN	2	2	4
UNDENKBAR	2	2	2
UMWERTEND	2	3	4
VEGETIERE	2	3	2
VERFLIEGT	2	2	1
VERBRACHT	2	2	2
VERHUETEN	2	2	3
UNEBENERE	2	2	2
VERFLUCHE	2	2	2
VERBUMMLE	2	2	2
VERBAUERT	2	3	2
VERGLEICH	2	2	2
VERFRIERT	2	2	4
VERMITTLE	2	1	2
VERIRRTES	2	2	2
VERLEIHES	2	2	2
VERGNUEGT	2	3	2
VERRIETEN	2	2	3
VERFILZEN	3	3	3
VERSAGERN	2	2	1
VERBALSTE	2	3	3
VERGAFFST	2	3	2
VERKNEIFE	2	2	2
UMRENNEND	3	2	2
VERLEIHEN	3	2	3
VERFLIXTE	2	2	3
VERRENKTE	2	2	3
VERGINGEN	2	3	2
VERHEXTEM	3	3	3
VERTEILEN	2	2	2
VERKANNTE	2	2	2
VERSAUTER	2	2	3
VISIERTEN	2	2	2
VERLIEFST	2	3	2
VERDAMMTE	3	2	2
VERWAISTE	2	2	2
VERTRAUST	2	2	2
VERSCHIED	2	2	3
VERSTANDE	2	2	2
VERLERNTE	2	2	2
VERALTETE	2	3	2
VOLKSMUND	2	2	2
VERKLAERT	2	2	2
VERKETTET	2	2	3
VISITIERT	2	2	2
VERDUMMTE	3	3	2
VOLONTAER	2	2	3
VERHANDLE	2	2	2
VERNARRTE	2	2	4
VERTAGTEN	2	3	3
VULGAEREM	2	2	2
VIELKANAL	2	2	1
VORSILBEN	2	2	2
VORTRIEBS	2	2	1
VORGEHABT	2	2	1
VOYEURTUM	2	1	2
WAHRNIMMT	2	1	2
VERLOGENE	2	3	3
VERWEINTE	2	2	4
VERZOGTEN	2	3	3
WASSERSKI	1	1	1
VORFEIERN	2	2	2
WAFFENLOS	2	2	2
WACHRUFEN	2	2	2
WASCHKORB	2	1	1
WALTRANEN	1	2	2
VERRONNEN	3	3	2
WARTERAUM	1	2	2
WAHLFACHS	2	2	2
VERSALZTE	2	3	3
VERNARBEN	3	3	3
WEGERICHS	2	2	3
WAHLURNEN	2	2	2
VERSTEIFT	2	2	2
VOGELMIST	2	3	2
WAERMTEST	2	2	4
WANDERTEN	2	2	2
WEGLASSEN	2	2	2
WAEHLBARE	2	2	1
WANDELTEN	3	2	2
VERSTELLE	2	2	3
VERMOCHTE	2	3	2
WEISUNGEN	2	2	2
WEGGEHEND	2	2	2
VERWIRREN	1	3	3
WACHENDES	2	3	4
WEINSTUBE	2	2	2
WESTLICHE	2	2	2
WINKLIGES	2	2	2
WONDOLLEK	1	1	2
VERWESTES	3	3	4
